id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
50356825,Apartments of Georgia Avenue,169763777,Christopher,,"Brightwood Park, Crestwood, Petworth",38.93545,-77.02499,Entire home/apt,240,1,1,2021-06-27,0.11,1,90,1,
50380578,Beautiful Modern Row house in D.C.,48334212,Mayron,,"Capitol View, Marshall Heights, Benning Heights",38.88162,-76.93004,Private room,65,2,3,2021-11-11,0.36,1,46,3,
50423103,Bright & Spacious Row Home w/parking - Glover Park,334410667,Elizabeth,,"Cathedral Heights, McLean Gardens, Glover Park",38.92126,-77.07489,Entire home/apt,250,31,9,2021-12-05,1.45,1,36,9,
50426424,Charming House! 8 minute walk to Capitol & more!,404763233,Jennifer And Bob,,"Union Station, Stanton Park, Kingman Park",38.8926,-77.00307,Entire home/apt,360,1,34,2022-01-17,3.74,3,176,34,
50437389,"Elegant Brookland Oasis |Patio, Pool, Gym, Smart",397386391,Connect Channel,,"North Michigan Park, Michigan Park, University Heights",38.93283,-76.99783,Entire home/apt,124,1,17,2022-02-13,2.14,6,14,17,
50440754,Sojourn on S | Spacious Garden Level Apartment,39930655,Team,,"Dupont Circle, Connecticut Avenue/K Street",38.91362,-77.04307,Entire home/apt,193,2,10,2022-02-07,1.63,156,333,10,
50461383,Spacious 1-bedroom and den apartment with patio,3438373,Kelsey,,"Union Station, Stanton Park, Kingman Park",38.89938,-76.9982,Entire home/apt,150,7,1,2021-10-24,0.2,1,80,1,
50490006,"Beautiful modern home, 360 rooftop view",337843894,Katherine,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91436,-77.00886,Entire home/apt,529,2,3,2021-11-28,0.35,1,358,3,
50501230,Washington Unique huge space,141344806,Mia,,"Cathedral Heights, McLean Gardens, Glover Park",38.91912,-77.07151,Entire home/apt,145,10,0,,,3,346,0,Exempt
50519612,"Historic Renovated Rowhouse, See Fireworks Up Hill",28818929,Kendall,,"Howard University, Le Droit Park, Cardozo/Shaw",38.91756,-77.03077,Entire home/apt,385,6,0,,,2,0,0,Hosted License: 5007242201000555
50542192,Spacious bright room w/ Private parking & balcony.,10807298,Rob,,Historic Anacostia,38.86384,-76.98118,Private room,49,1,12,2021-12-26,1.56,1,360,12,
50551368,Classic DC Rowhouse Gem in Eckington Neighborhood,113239450,Basilia,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.919,-76.99931,Entire home/apt,150,7,0,,,1,17,0,
50566880,Stay in a place of your own | 1BR in Washington,359230893,Casey,,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",38.87508,-77.01575,Entire home/apt,181,90,0,,,213,365,0,
50568717,Lovely condo close to public transit,57207766,Katie,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.928761,-77.0317,Entire home/apt,167,1,4,2022-03-20,4.0,1,228,4,
50573812,924 10th St NE · H Street Corridor townhouse with yard and patio,375204509,Bungalow,,"Union Station, Stanton Park, Kingman Park",38.90148,-76.99363,Entire home/apt,267,30,0,,,12,156,0,
50573927,1354 Queen St NE · Carver/Langston apartment near Atlas District,375204509,Bungalow,,"Ivy City, Arboretum, Trinidad, Carver Langston",38.90577,-76.98143,Entire home/apt,158,30,0,,,12,157,0,
